Question,"Total answers","Success rate","Average time (for answer correctly)"
question,5,60%,"56 seconds"
question,5,60%,"59 seconds"
question,5,100%,"58 seconds"
question,4,50%,"58.5 seconds"
question,3,70%,"56.5 seconds"
"New challenge (By - aviad test 1)",3,100%,"57.7 seconds"
"My challenge 1 (By - aviad test 2)",1,100%,"58 seconds"
"Hello uestion (By - aviad test 3)",1,100%,"54 seconds"
"some e challene (By - aviad test 3)",0,0,
"asas (By - aviad test 4)",0,0,
"Hello (By - aviad test 5)",0,0,
"hello challenge (By - aviad test 1)",0,0,
