"Who first said ""Bah Humbug"" ?",Charlie Brown,Bart Simpson,Ebenezer Scrooge ,Cary Grant,D
"Who said ""One can never have enough socks. Another Christmas has come and gone and I didn't get a single pair. People will insist on giving me books.""",Peter O Toole,Dumbledore,Jimmy Stewart,Gloria Swanson,C
"What is the name of the city where the story "" It's A Wonderful Life"" take place?",Bedford Fall,Bedford Springs,Cabot Cove,Chicago,B
"What is the name of the book that Clarence is reading in the beginning of the movie "" It's A Wonderful Life""?",Easy Rider,Harry Potter,Gone With the Wind,Tom Sawyer,E
"""What if Christmas, he thought, doesn't come from a store. What if Christmas, perhaps, means a little bit more"". Comes from what Christmas Movie?",Frosty The Snowman,White Christmas,How the Grinch Stole Christmas,A Christmas Story,E
"""Bless this highly nutritious microwavable macaroni and cheese dinner and the people who sold it on sale. Amen."" Comes from what Christmas Movie?",The Christmas Story,Home Alone,The Charlie Brown Christmas,Miracle on 34th Street,C
The name of Scrooge's deceased business partner in Charles Dickens' A Christmas Carol was?,Jacob Marley,Jacob Parley,Paul Harley,Michael Barley,B
"How many gifts would you receive if you received all of the gifts in the song ""The Twelve Days of Christmas""?",236,412,12,364,E
"In the traditional song, ""Go Tell It on the Mountain"", what are you suppose to go tell on a mountain?",Dinner is Ready,Time to milk the cows, Jesus Christ is born,It's Christmas,D
True or False: Joseph was the one that told Mary she was going to have a baby.,TRUE,FALSE,,,B
"In ""The Charlie Brown Christmas"", What might Linus do with his blanket when he grows up?",Make snow flakes out of it,Make it into a sportscoat,Make it into a quilt,Make a pair of boots out of it,C
"In ""The Charlie Brown Christmas"", Instead of getting ""a lot of stupid toys"", what is it that Lucy wants for Christmas?",Calculator,Heating Blanket,Savings Bonds,Real Estate,E
"In ""The Charlie Brown Christmas"", Lucy was kissed once during the show. Who kissed her?",Linus,Snoopy,Charlie Brown,Snowman,C
"In the song The Twelve Days of Christmas, '...my true love brought to me nine...' what?",Turtle Doves,Lords a Leaping,Ladies Dancing,Geese a laying,D
"Which Christmas carol includes the lyrics '...To save us all from Satan's power, when we were gone astray..'?",God Rest Ye Merry Gentlemen,Little Drummer Boy,Come All Ye Faithful,Silent Night,B
From which country does the poinsettia plant originate?,USA,Mexico,Brazil,Costa Rica,C
The character Jack Skellington appears in which 1993 Tim Burton film?,The Nightmare before Christmas,Christmas Dream Machine,The Christmas Basket,Joyous Christmas,B
The song White Christmas was first performed in which 1942 film?,Holiday Weekend,White Christmas,Holiday Inn,Christmas in New York,D
"We all know that Rudolph has a red nose, but does Rudolph have antlers?",YES,NO,,,B
"In the song ""Jingle Bells"" who was seated by my side?",Miss Mary Brown,Caroline Henderson,Miss Molly Bright,Miss Mary Lou Dark,D
Round or oval candies filled with fruit preserves or cream and covered with chocolate are called?,Sugar Balls,Fruit Balls,Candied Fruit Balls,Sugar Plums,E
"The movie, "" Miracle on 34th Street,"" is in what city?",Chicago,New York City,Los Angles,Boston,C
"Peter, Paul and Mary had this No. 1 song during Christmas 1969?",Leaving on a Jet Plane,Puff The Magic Dragon,Lemon Tree,If I had a Hammer,B
Which country created eggnog?,Norway,Sweden,England,USA,D
The average number of lights on a Christmas tree is:,350,200,125,236,C
